Species	Eint	Emed	Emag	Esti	Efla	Efal	Cca	Eac	Ebr	Emax	Emit	Ene	Ete	Epr	Sne	Nca	Tgo	Hha
Ko00720	0.533333333	0.466666667	0.4	0.533333333	0.6	0.6	0.6	0.4	0.533333333	0.266666667	0.2	0.6	0.533333333	0.333333333	0.533333333	0.6	0.533333333	0.533333333
Ko00730	0.333333333	0.333333333	0.333333333	0.476190476	0.428571429	0.428571429	0.428571429	0.333333333	0.238095238	0.380952381	0.333333333	0.476190476	0.285714286	0.285714286	0.333333333	0.380952381	0.428571429	0.428571429
Ko00740	0.466666667	0.333333333	0.4	0.333333333	0.466666667	0.4	0.333333333	0.333333333	0.266666667	0.533333333	0.2	0.4	0.466666667	0.2	0.266666667	0.266666667	0.2	0.2
Ko00750	0.375	0.375	0.375	0.25	0.375	0.375	0.375	0.125	0.375	0.25	0.375	0.25	0.25	0.125	0.375	0.5	0.5	0.5
Ko00760	0.411764706	0.470588235	0.470588235	0.411764706	0.529411765	0.470588235	0.470588235	0.411764706	0.352941176	0.411764706	0.294117647	0.411764706	0.411764706	0.294117647	0.411764706	0.352941176	0.352941176	0.352941176
Ko00770	0.318181818	0.318181818	0.363636364	0.318181818	0.409090909	0.363636364	0.409090909	0.363636364	0.181818182	0.227272727	0.181818182	0.409090909	0.318181818	0.181818182	0.363636364	0.409090909	0.363636364	0.363636364
Ko00780	0.555555556	0.555555556	0.555555556	0.333333333	0.555555556	0.444444444	0.444444444	0.333333333	0.111111111	0.333333333	0.222222222	0.333333333	0.444444444	0.111111111	0.444444444	0.444444444	0.444444444	0.444444444
Ko00785	0.666666667	0.666666667	0.666666667	0.666666667	0.666666667	0.333333333	0.666666667	0.666666667	0.666666667	0.333333333	0.666666667	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333
Ko00790	0.384615385	0.307692308	0.384615385	0.346153846	0.384615385	0.423076923	0.384615385	0.307692308	0.269230769	0.230769231	0.230769231	0.384615385	0.307692308	0.230769231	0.461538462	0.576923077	0.576923077	0.576923077
Ko00791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00830	0.1875	0.1875	0.1875	0.125	0.1875	0.3125	0.25	0.125	0.1875	0.1875	0.1875	0.1875	0.125	0.125	0.1875	0.1875	0.1875	0.1875
Ko00860	0.318181818	0.340909091	0.227272727	0.295454545	0.340909091	0.409090909	0.318181818	0.25	0.25	0.204545455	0.204545455	0.227272727	0.227272727	0.113636364	0.272727273	0.227272727	0.227272727	0.227272727
Ko00900	0.636363636	0.545454545	0.590909091	0.590909091	0.545454545	1	0.590909091	0.545454545	0.5	0.454545455	0.318181818	0.590909091	0.590909091	0.363636364	0.5	0.454545455	0.454545455	0.409090909
Ko00901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00903	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0
Ko00904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1
Ko00908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00910	0.115384615	0.076923077	0.153846154	0.153846154	0.153846154	0.192307692	0.115384615	0.153846154	0.115384615	0.038461538	0.076923077	0.153846154	0.192307692	0.076923077	0.153846154	0.076923077	0.076923077	0.076923077
Ko00920	0.105263158	0.105263158	0.105263158	0.052631579	0.105263158	0.157894737	0.210526316	0.105263158	0.052631579	0.052631579	0.052631579	0.210526316	0.105263158	0.052631579	0.157894737	0.157894737	0.157894737	0.157894737
Ko00930	0.25	0.25	0.25	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0.25	0.25	0.25
Ko00940	0.111111111	0.111111111	0.111111111	0.111111111	0.111111111	0.111111111	0.222222222	0.111111111	0.111111111	0.111111111	0.222222222	0.111111111	0.111111111	0.111111111	0.111111111	0.111111111	0.111111111	0.111111111
Ko00941	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ko00944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00950	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1
Ko00960	0.125	0	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0.125	0.125	0.125	0.125
Ko00965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00970	0.574468085	0.617021277	0.617021277	0.680851064	0.680851064	0.765957447	0.70212766	0.70212766	0.638297872	0.638297872	0.468085106	0.70212766	0.680851064	0.404255319	0.638297872	0.617021277	0.617021277	0.617021277
Ko00980	0.222222222	0.111111111	0.111111111	0.166666667	0.222222222	0.333333333	0.222222222	0.166666667	0.166666667	0.111111111	0.111111111	0.222222222	0.166666667	0.166666667	0.111111111	0.166666667	0.166666667	0.166666667
Ko00981	0	0.25	0.5	0.25	0.5	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0
Ko00982	0.095238095	0.047619048	0.047619048	0.095238095	0.095238095	0.19047619	0.142857143	0.047619048	0.047619048	0.047619048	0.047619048	0.095238095	0.095238095	0.047619048	0.095238095	0.095238095	0.095238095	0.095238095
Ko00983	0.358974359	0.358974359	0.358974359	0.435897436	0.461538462	0.384615385	0.358974359	0.333333333	0.256410256	0.205128205	0.179487179	0.307692308	0.358974359	0.153846154	0.307692308	0.333333333	0.333333333	0.307692308
Ko00984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko01001	0.270072993	0.299270073	0.284671533	0.313868613	0.357664234	0.343065693	0.335766423	0.321167883	0.233576642	0.270072993	0.218978102	0.262773723	0.284671533	0.211678832	0.284671533	0.299270073	0.299270073	0.299270073
Ko01002	0.406091371	0.385786802	0.370558376	0.426395939	0.467005076	0.421319797	0.411167513	0.340101523	0.365482234	0.304568528	0.263959391	0.38071066	0.395939086	0.21319797	0.395939086	0.436548223	0.421319797	0.406091371
Ko01003	0.176470588	0.282352941	0.211764706	0.235294118	0.258823529	0.270588235	0.270588235	0.247058824	0.176470588	0.141176471	0.164705882	0.164705882	0.2	0.188235294	0.235294118	0.247058824	0.258823529	0.258823529
Ko01004	0.465517241	0.431034483	0.413793103	0.396551724	0.413793103	0.465517241	0.465517241	0.379310345	0.172413793	0.275862069	0.103448276	0.431034483	0.413793103	0.172413793	0.396551724	0.431034483	0.413793103	0.431034483
Ko01005	0.2	0.2	0.2	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.4	0.2	0	0	0	0
Ko01006	0.555555556	0.444444444	0.5	0.444444444	0.555555556	0.5	0.5	0.555555556	0.388888889	0.388888889	0.166666667	0.388888889	0.611111111	0.333333333	0.444444444	0.5	0.444444444	0.444444444
Ko01007	0.532258065	0.580645161	0.564516129	0.596774194	0.596774194	0.64516129	0.629032258	0.612903226	0.580645161	0.532258065	0.370967742	0.612903226	0.596774194	0.338709677	0.5	0.516129032	0.516129032	0.516129032
Ko01008	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0
Ko01009	0.375	0.486111111	0.430555556	0.5	0.527777778	0.583333333	0.493055556	0.430555556	0.354166667	0.381944444	0.347222222	0.513888889	0.493055556	0.25	0.444444444	0.472222222	0.486111111	0.479166667
Ko01011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
